participant_id,school_id,district_id,study_yr,iqa,lmt,female,race_black,race_asian,race_white,race_hispanic,race_amind,race_pi,born_yr,full_cert,part_cert,none_cert,math_method,math_content,math_advance,grade_level_6,grade_level_7,grade_level_8,math_teach_yrs,c_ishtrack_flg,c_n,c_pctlep,c_pctsped
10603,106,1,1,2,0.17407501,0,0,0,0,1,0,0,1966,1,0,0,3 Courses,2 Courses,5 or More courses,0,0,1,17,1,29,10.34483,3.448276
10604,106,1,2,1.916667,-1.26604,1,0,0,1,0,0,0,1953,1,0,0,1 Course,5 or More courses,0 Courses,0,1,0,7,0,28,21.42857,0
10605,106,1,1,2.5,-0.40911001,1,0,0,1,0,0,0,1979,1,0,0,5 or More courses,2 Courses,2 Courses,1,0,0,6,0,27,25.92593,7.4074068
10605,106,1,2,2.25,-0.1041855,1,0,0,1,0,0,0,1979,1,0,0,5 or More courses,2 Courses,2 Courses,1,0,0,7,0,27,29.629629,14.81481
10606,106,1,2,1.666667,1.4010085,1,0,0,1,0,0,0,1945,1,0,0,2 Courses,0 Courses,5 or More courses,1,1,0,40,0,18,16.66667,11.11111
10606,106,1,3,1,1.5198355,1,0,0,1,0,0,0,1945,1,0,0,2 Courses,0 Courses,5 or More courses,1,0,0,41,1,29,13.7931,0
10606,106,1,4,2.416667,1.4010085,1,0,0,1,0,0,0,1945,1,0,0,2 Courses,0 Courses,5 or More courses,1,0,0,42,1,21,20,0
10614,106,1,4,2.166667,-0.59965998,0,0,0,1,0,0,0,1977,1,0,0,5 or More courses,5 or More courses,2 Courses,0,1,0,11,0,21,19.047621,28.57143
10702,109,1,4,2.166667,1.5217335,0,0,0,1,0,0,0,1971,1,0,0,2 Courses,0 Courses,5 or More courses,1,0,0,15,0,16,13.33333,20
10705,107,1,2,3,0.3665705,1,0,0,1,0,0,0,1979,1,0,0,3 Courses,5 or More courses,3 Courses,0,0,1,6,1,28,3.571429,3.571429
10706,107,1,4,2,0.38520649,0,1,0,0,0,0,0,1976,1,0,0,0 Courses,5 or More courses,2 Courses,0,0,1,8,1,21,0,0
10707,107,1,4,2.166667,1.5217335,0,0,1,0,0,0,0,1987,0,1,0,1 Course,1 Course,4 Courses,0,1,0,2,1,30,36.666672,0
10803,108,1,2,2.666667,-0.37964401,0,0,0,1,0,0,0,1957,1,0,0,5 or More courses,5 or More courses,4 Courses,0,0,1,17,0,30,43.333328,26.66667
10803,108,1,3,2.083333,-0.85254848,0,0,0,1,0,0,0,1957,1,0,0,2 Courses,2 Courses,1 Course,0,1,0,18,0,11,27.27273,45.45454
10804,108,1,1,2.5,1.2065985,0,0,0,1,0,0,0,1950,1,0,0,5 or More courses,5 or More courses,4 Courses,0,0,1,13,1,30,20,13.33333
10804,108,1,2,2.166667,0.65323353,0,0,0,1,0,0,0,1950,1,0,0,5 or More courses,5 or More courses,4 Courses,0,1,0,14,0,25,28,12
10804,108,1,3,2.25,0.41628301,0,0,0,1,0,0,0,1950,1,0,0,5 or More courses,5 or More courses,5 or More courses,0,0,1,15,0,25,40.909088,9.090909
10804,108,1,4,1.916667,0.93412852,0,0,0,1,0,0,0,1950,1,0,0,5 or More courses,5 or More courses,5 or More courses,0,0,1,16,0,25,41.666672,33.333328
10805,108,1,1,3,1.506842,0,0,0,1,0,0,0,1962,1,0,0,3 Courses,3 Courses,5 or More courses,0,1,0,10,0,19,26.31579,5.2631578
10806,108,1,1,2.333333,-1.1721956,1,0,0,1,0,0,0,1952,1,0,0,5 or More courses,5 or More courses,0 Courses,1,0,0,21,0,30,36.666672,23.33333
10806,108,1,3,2.583333,-1.41075,1,0,0,1,0,0,0,1952,1,0,0,5 or More courses,5 or More courses,0 Courses,1,0,0,23,0,29,46.42857,25
10806,108,1,4,2.083333,-1.4678,1,0,0,1,0,0,0,1952,1,0,0,5 or More courses,5 or More courses,0 Courses,1,0,0,24,0,24,43.47826,34.782612
10810,108,1,4,2.25,0.32005101,1,0,0,1,0,0,0,1950,1,0,0,4 Courses,3 Courses,2 Courses,0,1,0,15,1,30,13.33333,10
10903,109,1,1,2.583333,1.3603801,1,0,0,1,0,0,0,1952,1,0,0,4 Courses,3 Courses,4 Courses,0,1,0,21,0,34,2.9411759,2.9411759
10903,109,1,2,1.5,1.506842,1,0,0,1,0,0,0,1952,1,0,0,5 or More courses,3 Courses,4 Courses,0,0,1,22,0,19,31.578951,5.2631578
10903,109,1,3,1.5,1.239655,1,0,0,1,0,0,0,1952,1,0,0,5 or More courses,3 Courses,4 Courses,1,0,0,23,0,31,6.4516129,6.4516129
10903,109,1,4,1.75,1.845114,1,0,0,1,0,0,0,1952,1,0,0,5 or More courses,3 Courses,5 or More courses,0,1,0,24,0,23,13.63636,4.545455
10904,109,1,1,2.083333,0.060082499,1,0,0,1,0,0,0,1975,1,0,0,3 Courses,2 Courses,5 or More courses,1,0,0,10,0,19,47.36842,31.578951
10904,109,1,2,2.166667,-0.29332551,1,0,0,1,0,0,0,1975,1,0,0,5 or More courses,2 Courses,5 or More courses,0,1,0,11,0,22,27.27273,0
10904,109,1,3,2.416667,1.1097255,1,0,0,1,0,0,0,1975,1,0,0,5 or More courses,2 Courses,5 or More courses,0,0,1,12,0,30,34.482761,17.241381
10905,109,1,1,2.333333,1.53233,0,0,0,1,0,0,0,1953,1,0,0,5 or More courses,5 or More courses,5 or More courses,0,0,1,17,1,36,0,0
10905,109,1,2,1.833333,1.3714035,0,0,0,1,0,0,0,1953,1,0,0,5 or More courses,5 or More courses,5 or More courses,1,0,0,18,0,32,0,0
10905,109,1,3,2.166667,1.506842,0,0,0,1,0,0,0,1953,1,0,0,5 or More courses,5 or More courses,5 or More courses,0,1,0,19,1,12,0,0
